iter	Logloss
0	0.6177131443
1	0.5599026045
2	0.5086654678
3	0.4701059402
4	0.4340910566
5	0.4093926115
6	0.3876200172
7	0.3694973201
8	0.3511399571
9	0.3347209716
10	0.3211994261
11	0.3067032621
12	0.2956218137
13	0.2849659135
14	0.2777557018
15	0.2698325035
16	0.2625567594
17	0.2547406805
18	0.2495838865
19	0.2437209007
20	0.2382082294
21	0.2347175342
22	0.2299554191
23	0.2270123048
24	0.2228606113
25	0.2207143378
26	0.2173471
27	0.2139328989
28	0.2114019303
29	0.2093356667
30	0.2068792781
31	0.2049349287
32	0.2033677428
33	0.2016929044
34	0.2003876452
35	0.1986222392
36	0.1974193396
37	0.1958076452
38	0.1948495098
39	0.1936513935
40	0.1926204127
41	0.1920139655
42	0.190834012
43	0.1901029709
44	0.189524141
45	0.1888158359
46	0.1881792572
47	0.1877198446
48	0.1873702963
49	0.1868413296
50	0.1863773464
51	0.1861151094
52	0.1858088803
53	0.1855731622
54	0.1852968841
55	0.1846497373
56	0.1842907564
57	0.1838841914
58	0.18364434
59	0.1833827014
60	0.1831825006
61	0.1829972577
62	0.1828398966
63	0.1821809247
64	0.1819957399
65	0.1818389498
66	0.1816413662
67	0.181312549
68	0.1811603978
69	0.1809994003
70	0.1806445117
71	0.1805023576
72	0.1803704436
73	0.1800732417
74	0.1799535638
75	0.1798155661
76	0.1796947046
77	0.1796145947
78	0.1792534813
79	0.179123428
80	0.1789823389
81	0.1788588
82	0.1787772113
83	0.1786843795
84	0.1785666217
85	0.1784488281
86	0.1782863096
87	0.1780450818
88	0.1779682593
89	0.1778638856
90	0.1777364494
91	0.1776316327
92	0.1775624476
93	0.1774909829
94	0.1773769406
95	0.176765935
96	0.1766712481
97	0.1765433545
98	0.1764027517
99	0.1761922012
100	0.1760375441
101	0.1759421841
102	0.1758644343
103	0.1757565543
104	0.1756759165
105	0.1756150747
106	0.1755259494
107	0.1754092991
108	0.1753232465
109	0.1752191812
110	0.1751072426
111	0.1750475162
112	0.1749724759
113	0.1748880693
114	0.1747973569
115	0.17471296
116	0.1746177079
117	0.1745273215
118	0.1744289722
119	0.1743452092
120	0.1742595737
121	0.1742046284
122	0.1740933718
123	0.1739828848
124	0.1738755015
125	0.1737889571
126	0.1736873714
127	0.1736178315
128	0.1735486558
129	0.1734858836
130	0.1733992275
131	0.1733143923
132	0.1732417295
133	0.1731414884
134	0.1730838572
135	0.1730103108
136	0.1729129104
137	0.172816751
138	0.1727231225
139	0.1726313601
140	0.1725761194
141	0.1725318498
142	0.1724701082
143	0.1721013199
144	0.1720403665
145	0.1719676743
146	0.1718822353
147	0.1716111029
148	0.1715188281
149	0.1714360594
150	0.1713863755
151	0.171293689
152	0.1712270619
153	0.1711305985
154	0.1710947319
155	0.1710371215
156	0.1709266197
157	0.1708655454
158	0.17075889
159	0.1704028068
160	0.1703404809
161	0.1702439138
162	0.1701641835
163	0.1700972872
164	0.1700485518
165	0.1699894269
166	0.1697105345
167	0.1696411632
168	0.1695790891
169	0.1695328146
170	0.1694623461
171	0.169408001
172	0.169359023
173	0.1693029611
174	0.1691652771
175	0.1690984983
176	0.1690336266
177	0.1689793241
178	0.1689189034
179	0.1688612291
180	0.1687965349
181	0.168722787
182	0.1686600867
183	0.1686036708
184	0.1684262815
185	0.1683635106
186	0.168291297
187	0.1682545528
188	0.1682104869
189	0.1681525219
190	0.1680802557
191	0.168019188
192	0.1679420803
193	0.1678772735
194	0.1678166974
195	0.1677408974
196	0.1676710088
197	0.1675784772
198	0.1675284535
199	0.1674746931
