iter	Passed	Remaining
0	22	4519
1	45	4519
2	69	4544
3	92	4529
4	115	4517
5	139	4523
6	163	4506
7	186	4484
8	209	4446
9	232	4422
10	257	4418
11	279	4376
12	301	4340
13	325	4323
14	347	4291
15	371	4273
16	394	4249
17	415	4204
18	438	4177
19	462	4160
20	483	4124
21	504	4085
22	526	4049
23	548	4021
24	568	3978
25	589	3944
26	610	3914
27	633	3891
28	654	3857
29	675	3826
30	695	3792
31	717	3764
32	738	3734
33	760	3712
34	782	3687
35	804	3665
36	827	3643
37	848	3619
38	869	3588
39	892	3568
40	912	3538
41	932	3508
42	955	3487
43	975	3458
44	995	3430
45	1015	3401
46	1038	3379
47	1057	3348
48	1077	3319
49	1098	3294
50	1118	3268
51	1138	3241
52	1158	3213
53	1178	3185
54	1198	3159
55	1220	3137
56	1239	3109
57	1259	3083
58	1280	3059
59	1301	3035
60	1320	3010
61	1340	2984
62	1359	2956
63	1379	2932
64	1400	2909
65	1419	2882
66	1441	2860
67	1461	2836
68	1478	2806
69	1499	2784
70	1519	2760
71	1538	2734
72	1558	2711
73	1577	2685
74	1596	2660
75	1616	2636
76	1634	2611
77	1654	2588
78	1675	2565
79	1696	2544
80	1716	2521
81	1735	2497
82	1753	2472
83	1773	2448
84	1794	2427
85	1812	2402
86	1832	2379
87	1851	2356
88	1871	2334
89	1890	2310
90	1911	2289
91	1930	2266
92	1949	2243
93	1969	2220
94	1991	2200
95	2011	2178
96	2031	2156
97	2051	2135
98	2073	2115
99	2095	2095
100	2116	2074
101	2138	2054
102	2161	2035
103	2181	2013
104	2201	1991
105	2222	1970
106	2242	1948
107	2264	1928
108	2284	1907
109	2304	1885
110	2327	1866
111	2350	1846
112	2372	1826
113	2393	1805
114	2415	1785
115	2438	1765
116	2459	1744
117	2483	1725
118	2507	1706
119	2532	1688
120	2615	1707
121	2682	1714
122	2730	1709
123	2755	1688
124	2781	1668
125	2805	1647
126	2829	1626
127	2852	1604
128	2971	1635
129	2996	1613
130	3039	1600
131	3064	1578
132	3088	1556
133	3112	1532
134	3136	1510
135	3160	1487
136	3184	1464
137	3223	1448
138	3330	1461
139	3371	1444
140	3393	1419
141	3415	1395
142	3437	1370
143	3462	1346
144	3487	1322
145	3514	1299
146	3540	1276
147	3564	1252
148	3651	1250
149	3706	1235
150	3747	1216
151	3771	1190
152	3797	1166
153	3820	1141
154	3841	1115
155	3866	1090
156	3890	1065
157	3914	1040
158	3982	1026
159	4065	1016
160	4108	995
161	4133	969
162	4158	943
163	4183	918
164	4206	892
165	4230	866
166	4260	841
167	4328	824
168	4414	809
169	4443	784
170	4478	759
171	4505	733
172	4537	708
173	4567	682
174	4600	657
175	4724	644
176	4790	622
177	4811	594
178	4832	566
179	4854	539
180	4875	511
181	4899	484
182	4923	457
183	4943	429
184	4966	402
185	4987	375
186	5009	348
187	5029	321
188	5051	293
189	5071	266
190	5093	239
191	5115	213
192	5138	186
193	5160	159
194	5181	132
195	5203	106
196	5226	79
197	5252	53
198	5276	26
199	5299	0
