feature,importance
BMI,184
DIAB,120
WEIGHT,101
DIABF,77
MOMAGE,73
DADAGE,70
SHLT,62
HIBPE,60
DRINKD,56
JLTEN,52
WTHH,44
JLASTY,43
AGEM_B,37
LIVSIB,37
DIABE2,36
HEIGHT,33
COG27,30
JYEARS,28
MCURLN,28
LIV75R,27
DBINSULN,25
JCTEN,24
RETYR,24
MLEN,24
BEQ100,24
LIV10P,22
WTRESP,22
HEARTE,22
LIV75C,21
VIGACT,20
FSIZE,20
SSWRXA,20
BPPULS,20
LIV75P,20
MSTOT,18
DRINK,18
TOTMD,18
PRPRM1,18
LIVSIS,17
SSWRNR,17
SER7,17
OOPMD,17
IMRC,17
EFFORT,17
JMISS,16
PMWAIST,16
SSWSER,16
TR20,15
JLOCC,15
CONDE,14
LIV10R,14
JLOCCA,14
SSWRER,14
IPEN,14
FAMR,13
FINR,13
LIV75,13
LIVPAR,13
DRINKN,13
DOCTIM,13
PSYCHF,12
ISRET,12
AGEM_E,12
JLIND,12
WGIWK,12
LTACTX,12
WLIPRM,11
WTCRNH,11
EYERT,10
JWEEKS,10
JCIND,10
URBRUR,10
CENREG,10
DCBAL1,10
HIBPE2,10
WGIHR,9
LIV85P,9
VOCAB,9
DCCONT1,9
EYEFR,9
YR,8
SSWSXA,8
CLIMS,8
DLRC,8
CONDEF,8
IPENA,8
VP,8
IEARN,8
LUNGF,8
JLASTM,8
LIVBRO,8
HEARTE2,7
JHOURS,7
WORK65,7
COGTOT,7
IIRAW,7
SSWSNR,7
PMWGHT,6
JLIFT,6
LIV8XC,6
HLTC3,6
IGXFR,6
WORKLM,6
EARRT,6
JYEARM,6
JCOCCA,6
BEQANY,6
WORK62,6
RETDTWV,6
RETMON,6
SHLTC,6
INHER,6
BEQ500,6
SMOKEN,6
CENDIV,6
DSTAT,6
DCBENE1,5
SLEEPWKE,5
FINPLN,5
MDACTX,5
MRPREM,5
BPSYS,5
LBRF,5
PRSRC1,5
DBDIAGYR,5
TYLTC,5
MSTAT,5
LIV10,5
IWENDM,5
JCOCC,5
CANCRF,5
HSPTIM,5
JHOUR2,5
CANCRE2,5
LUNG,5
MOMLIV,5
HEARTF,5
DRESS,4
JLMIS,4
JNJOB,4
AGEY_B,4
GRP,4
HEART,4
MEND,4
MAMMOG,4
LTCPRM,4
MRCT,4
RISK6,4
JLTENF,4
HSPNIT,4
ISSDI,4
PSTMEM,4
LIV10A,4
IUNWC,4
IFANN,3
CESD,3
BEQ10K,3
IIRAWY1,3
JLOCCB,3
JLINDB,3
PMBMI,3
LBNEGAFFECT,3
JSIGHT,3
PUFF,3
HEARTQ,3
LIV85C,3
TOTMBI,3
HERET,3
HLPDYST,3
JCOCCB,3
SMOKEV,3
HIBPQ,3
PAPSM,3
BWC86,3
RPLNYA,3
STROKF,3
DENTST,3
SLEEPWKN,3
MEDS,3
AGEY_E,3
RXPREM,3
IWBEG,3
JOG,2
RPLNYR,2
JWEEK2,2
DADLIV,2
LBOPEN,2
JJOBS,2
JPHYS,2
LIV85R,2
JNJOB5,2
LBSATHOME,2
JSTOOP,2
PMHGHT,2
ARMS,2
DCBAL2,2
GRPL,2
STROKE2,2
HOMCAR,2
LIV75F,2
NRSNIT,2
DSSAMT,2
ISDI,2
MOBILA,2
DRUGS,2
FINEA,2
ADL6A,2
PSYCHE2,2
PROST,2
SLFMEM,2
RETSAT,2
PENINC,2
PENIC1,2
SHOPA,2
LIFEIN,2
HIBPF,2
PRPCNT,2
STROKQ,2
HESRC3,2
SADLF,2
MDIV,2
HLTC5,2
HIOTHP,2
VGACTX,2
HLPDYSF,1
DRESSH,1
TOILT,1
WALKS,1
MEALSA,1
HLPRFN,1
LGMUSA,1
GROSSA,1
HLPDYSU,1
ADL5A,1
BREAST,1
LBELIG,1
LBWGTR,1
LBNEUR,1
LBEXT,1
LBCON5,1
LBLONELY3,1
HLTHLM,1
DCPCT1,1
LBNEGAFFECT6,1
DEPEVD,1
TOILTA,1
PENI_N,1
ARMSA,1
STOOP,1
SLEEPR,1
GRPR,1
FLONE,1
PARTD,1
MAP,1
CANCRS,1
PUSH,1
SLEEPRT,1
SLEEPFAL,1
BWC20,1
MO,1
DY,1
LIFT,1
CLIM1,1
HLPPDTA,1
CACT,1
FSER7,1
EYECAT,1
SSSTP,1
WALK1,1
LIV85F,1
PNHM5Y,1
SAMEMP,1
FSIZEF,1
UNIONF,1
MEMRYE,1
SITA,1
CLIMSA,1
DSIAMT,1
LBPOSAFFECT,1
HILTC,1
SAYRET,1
LBLONELY11,1
PENCT,1
FIMRC,1
ARTHRQ,1
AGEM_M,1
IFGXFR,1
LIV85,1
RYRCMP,1
PSYCHE,1
WGFHR,1
LBRFY,1
LBRFH,1
ARTHRF,1
JSTRES,1
ARTHRE,1
SLFEMP,1
SSDI,1
IWENDF,1
GOVMD,1
DCCONT2,1
IANN,1
CANCRQ,1
MLENM,1
DIABQ,1
MWID,1
HIBP,1
HESRC2,1
WORK2,1
IFSRET,1
COVS,1
HERTS1,1
IWEND,1
PSYCH,1
HLPHRST,0
MOP,0
BWC20P,0
BWC20W,0
PTYPD2,0
HLPRTN,0
SER7W,0
DYP,0
INHPTN,0
HLPHRSP,0
HLPDYSP,0
HLPRPN,0
INHPPN,0
HLPHRSU,0
HLPPDTN,0
PRCHMEM,0
MEMRYQ,0
MEMRY,0
SLEEPSN,0
IFIRAW,0
SLEEPBR,0
MEMRYF,0
MEMRYS,0
SLEEPT,0
STXOXY,0
STXPRE,0
STXSRG,0
STXJAW,0
STXNERVE,0
STXSTRIP,0
WTR_NH,0
STXOTH,0
STXMED,0
SLEEPS,0
IMRCP,0
IMRCW,0
DLRCP,0
DLRCW,0
TR20P,0
TR20W,0
NOTICS,0
MEMRYE2,0
SER7P,0
HLPRUN,0
CACTP,0
INHPUN,0
HLPPDFN,0
PHONEH,0
SHOP,0
FSER7P,0
FSER7W,0
FBWC20P,0
FBWC20W,0
FMOP,0
FDYP,0
FYRP,0
FDWP,0
