feature,importance
CONDE,0.04335037
fam_INW12,0.036235422
fam_INW13,0.023810294
SHLT,0.019718487
DOCTIM,0.015401404
DIABE2,0.014003179
FAMR,0.0134482775
EFFORT,0.013442433
fam_kid_avg_birth_year,0.012625114
DBINSULN,0.011870915
URBRUR,0.01146167
IWBEG,0.011394931
WTCRNH,0.011369276
CENDIV,0.011276363
JLOCC,0.0111338105
CENREG,0.011082135
BMI,0.010955876
DIABF,0.010584281
JLASTM,0.01038935
JLIND,0.010197665
LIV10P,0.010107349
LIV75P,0.009984841
fam_K16NKID,0.009918118
SSWSER,0.009859831
IPENA,0.00985135
JYEARS,0.009840569
HEIGHT,0.009800364
LIVPAR,0.009789939
fam_K16TCAMT_sum,0.009753414
DRINKD,0.0097222375
HIBPE2,0.009694942
AGEM_B,0.009660054
JLTEN,0.0096114045
JCOCC,0.009441162
JWEEKS,0.009388426
SSWRER,0.0093538975
SSWRXA,0.009345608
MOMAGE,0.009337124
LIVBRO,0.009298011
fam_KAEDUC_mean,0.00922331
WTRESP,0.009218427
BEQ100,0.009177937
EYEFR,0.009139263
JCTEN,0.009117914
RETMON,0.009072037
MCURLN,0.009001549
FSIZE,0.008994401
WEIGHT,0.008965323
RETYR,0.008936518
OOPMD,0.008905744
WGIWK,0.008857016
fam_K15NKID,0.008854706
FINR,0.008815019
JLOCCA,0.008789117
LIVSIS,0.008788893
fam_num_kids,0.00878667
PSYCHF,0.008744665
DADAGE,0.008737362
EYERT,0.008640506
HEARTE,0.008629508
HIBPE,0.008586811
JLASTY,0.008579216
VIGACT,0.008483794
MSTOT,0.008459443
DRINK,0.008454604
LTCPRM,0.00842
DCBAL1,0.008364946
TOTMD,0.008328083
IMRC,0.0083013475
PRPRM1,0.008295629
WGIHR,0.00829291
LIV75R,0.008199555
LIV10R,0.008101981
ISRET,0.008101135
JNJOB,0.008094811
MLEN,0.0080880895
LIVSIB,0.00808354
DRINKN,0.008077384
IEARN,0.008012301
SER7,0.007992241
JMISS,0.007942182
SSWRNR,0.007929658
DLRC,0.007890123
LIV75C,0.00784995
WORKLM,0.0078017046
LIV75,0.007781203
DCCONT1,0.0077723074
VP,0.0077596623
TR20,0.0077301804
WLIPRM,0.0076108123
COG27,0.0073191635
WTHH,0.0072789546
JLMIS,0.007215172
LUNGF,0.0070236493
LIV8XC,0.007007437
DBDIAGYR,0.006997811
BPPULS,0.0068711163
DIAB,0.0066135935
PMWAIST,0.00633021
LTACTX,0.0060287304
wave,0.0030228093
