feature,importance
fam_INW12,0.079843536
fam_INW13,0.07855986
FAMR,0.018729715
AGEM_B,0.0144665
HEIGHT,0.013450303
fam_K16NKID,0.011818925
SSWRNR,0.011778236
ISRET,0.01151167
FINR,0.010374842
JYEARS,0.01036521
SSWRER,0.010082411
LIV75,0.009989674
LIV75R,0.009893237
CONDE,0.00987234
IWBEG,0.009808628
JWEEKS,0.009586615
SSWSER,0.009522238
fam_num_kids,0.009484049
fam_K15NKID,0.009462246
WTCRNH,0.009399363
JLOCCA,0.009376064
WTRESP,0.009373209
IPENA,0.00935203
LIVBRO,0.009312752
CENREG,0.009278394
FSIZE,0.009250202
JLOCC,0.009249507
JCTEN,0.009160244
JLIND,0.009091709
JLTEN,0.009073789
JNJOB,0.009071581
MLEN,0.009027666
MCURLN,0.009018464
fam_K16TCAMT_sum,0.008945402
fam_kid_avg_birth_year,0.008859008
IEARN,0.00885193
DCBAL1,0.008849419
DADAGE,0.0088143125
fam_KAEDUC_mean,0.008788759
HEARTE,0.008746378
CENDIV,0.00873645
WEIGHT,0.008724356
DIABF,0.008700637
DLRC,0.008643367
DRINK,0.008608723
RETMON,0.00859854
SSWRXA,0.008594898
JCOCC,0.008545642
LIVPAR,0.008472284
JLASTY,0.008432549
IMRC,0.0082934955
LIV10P,0.008252872
RETYR,0.00822631
LIV75P,0.008208028
TOTMD,0.00819364
WTHH,0.008162796
EYEFR,0.008140017
LIV10R,0.008137659
LIVSIB,0.008131783
WLIPRM,0.008090438
URBRUR,0.008089605
LIV8XC,0.008067962
JMISS,0.0080242995
JLMIS,0.00800632
MOMAGE,0.007990911
WORKLM,0.007972041
DCCONT1,0.007865966
SHLT,0.0077814595
DBINSULN,0.0077667264
LIVSIS,0.007754632
DRINKD,0.007701145
PRPRM1,0.0076803495
WGIHR,0.007630097
DOCTIM,0.0075906003
WGIWK,0.0075326175
SER7,0.0074385977
PSYCHF,0.007381745
JLASTM,0.0072949585
TR20,0.007279138
VIGACT,0.007275877
LTACTX,0.0072050453
LIV75C,0.007175738
MSTOT,0.0071311938
DBDIAGYR,0.007101356
OOPMD,0.007099087
BMI,0.0070146974
DRINKN,0.006946794
DIABE2,0.0069141993
COG27,0.0068677287
BEQ100,0.006780493
VP,0.0067675505
EYERT,0.0066893985
EFFORT,0.006626229
HIBPE2,0.0065234383
PMWAIST,0.0064578694
HIBPE,0.0063529937
LTCPRM,0.006233952
LUNGF,0.0058673373
BPPULS,0.005802352
DIAB,0.0056598284
wave,0.0052727726
