feature,importance
HIBPE,0.08168374
DBINSULN,0.04185683
BMI,0.038941007
DIABF,0.024214363
DIAB,0.021538317
fam_INW12,0.0197154
DRINK,0.019079119
SHLT,0.018504858
DRINKD,0.0150459865
HIBPE2,0.013965813
VIGACT,0.013166867
EFFORT,0.013118632
HEARTE,0.012409765
VP,0.012230347
fam_INW13,0.011707991
DIABE2,0.01108566
CONDE,0.011076582
FINR,0.011074226
IMRC,0.0105922865
FAMR,0.009987291
DRINKN,0.009915679
LUNGF,0.0093879355
SER7,0.009309276
DLRC,0.009125862
COG27,0.009123412
WEIGHT,0.009034268
LIVPAR,0.008925433
LTACTX,0.00883553
WTHH,0.008745905
WTCRNH,0.0084957285
IPENA,0.00830598
LIV75,0.008276888
ISRET,0.00819237
AGEM_B,0.008189252
WORKLM,0.008157867
fam_kid_avg_birth_year,0.008155884
LIV75P,0.008128013
fam_KAEDUC_mean,0.008090421
fam_K16NKID,0.008083855
JLOCCA,0.008063742
JLTEN,0.008043616
EYEFR,0.008039841
FSIZE,0.007973823
LIVSIB,0.007922539
JYEARS,0.007788832
MSTOT,0.0077824057
URBRUR,0.0077780387
JCOCC,0.0076837284
MLEN,0.0076791267
JLASTY,0.0076396116
MOMAGE,0.007567368
fam_num_kids,0.0074973637
WTRESP,0.0074804667
fam_K16TCAMT_sum,0.007461318
LIVBRO,0.007445361
WGIWK,0.0074402415
LTCPRM,0.0074054208
BEQ100,0.0073877578
fam_K15NKID,0.0073296186
JLASTM,0.0073084934
WGIHR,0.0073080137
SSWRNR,0.00727231
SSWRXA,0.0072280867
JLIND,0.0072188354
HEIGHT,0.0071538417
MCURLN,0.0071336743
DADAGE,0.0071006925
IEARN,0.0070396396
SSWSER,0.007022909
LIVSIS,0.006981325
LIV10P,0.0069803465
WLIPRM,0.0068470594
JNJOB,0.0068330183
LIV75R,0.0068083317
DCBAL1,0.006786264
JCTEN,0.0067858933
JLOCC,0.006760156
RETYR,0.006706138
JMISS,0.0066360044
LIV10R,0.0066184676
TOTMD,0.006579173
CENDIV,0.0063905576
JLMIS,0.006389859
SSWRER,0.006377043
RETMON,0.0063153775
JWEEKS,0.0062967017
PSYCHF,0.0062755025
DOCTIM,0.006219472
PRPRM1,0.006203632
BPPULS,0.0061852103
PMWAIST,0.0061779255
IWBEG,0.0061764675
TR20,0.006172549
LIV75C,0.0061257235
CENREG,0.005994879
OOPMD,0.005948603
DCCONT1,0.0058793915
LIV8XC,0.0058574947
EYERT,0.005855662
DBDIAGYR,0.004749692
wave,0.0024147297
