feature,importance
fam_INW12,0.10100581
fam_INW13,0.063563004
CONDE,0.044365082
AGEM_B,0.021427201
fam_K15NKID,0.020473395
SHLT,0.018591683
LIVPAR,0.01628058
HIBPE,0.012518422
FAMR,0.012083269
LIV75R,0.011098207
JYEARS,0.0108431075
FINR,0.010822035
LIV75P,0.010425423
HIBPE2,0.010414255
SSWSER,0.009996536
HEIGHT,0.009895373
DIABE2,0.009892761
SSWRER,0.009888171
EFFORT,0.009490787
WTCRNH,0.009430015
JNJOB,0.0090099145
LIV75,0.008942748
PSYCHF,0.008933209
JWEEKS,0.008794932
WEIGHT,0.008709054
fam_KAEDUC_mean,0.008610338
DOCTIM,0.008593961
MCURLN,0.0084829535
CENREG,0.008409309
WTRESP,0.008357313
JCTEN,0.008320072
JLIND,0.0082979305
JCOCC,0.008286573
JLOCC,0.008228014
JLOCCA,0.008178886
LIV10P,0.008118785
JLTEN,0.008039621
DCCONT1,0.008035027
LIVSIS,0.008002259
IPENA,0.007965651
DBINSULN,0.00796304
ISRET,0.007960554
FSIZE,0.007954654
LIVBRO,0.007951157
fam_K16NKID,0.0079366695
CENDIV,0.007900364
WORKLM,0.0078720115
DCBAL1,0.0077869436
DADAGE,0.0077314437
LUNGF,0.007672713
JMISS,0.0075994665
SER7,0.0075890524
OOPMD,0.007584881
DIAB,0.007565354
LIV10R,0.0075494265
SSWRXA,0.0074982867
fam_kid_avg_birth_year,0.0074873236
WGIHR,0.007406744
MLEN,0.007378439
JLASTM,0.0073772357
TR20,0.0073402748
LIVSIB,0.007265812
RETMON,0.0072544576
IWBEG,0.0072166077
IEARN,0.007148922
BEQ100,0.007146355
RETYR,0.007112522
DRINKN,0.0070849173
MOMAGE,0.0070728874
JLASTY,0.00706993
TOTMD,0.0070173955
fam_num_kids,0.0069901343
DLRC,0.00698766
EYEFR,0.006965621
fam_K16TCAMT_sum,0.00690889
WTHH,0.0069035757
URBRUR,0.006880207
PRPRM1,0.006805543
WGIWK,0.0067980797
DBDIAGYR,0.0067500765
WLIPRM,0.006736423
IMRC,0.0066846358
LTCPRM,0.006445429
DRINKD,0.0063318447
BMI,0.006327102
LIV8XC,0.006167116
DRINK,0.0060877427
COG27,0.006063157
DIABF,0.005999712
EYERT,0.005985544
LIV75C,0.0059046247
SSWRNR,0.0058271363
JLMIS,0.0057285307
LTACTX,0.005684613
MSTOT,0.005619806
PMWAIST,0.005247764
VIGACT,0.0051881475
BPPULS,0.0047456943
VP,0.004473114
wave,0.0034445394
HEARTE,0.0
