feature,importance
fam_INW12,0.030607479
DIABE2,0.029661626
fam_INW13,0.019828504
SHLT,0.018359404
CONDE,0.016617019
HEARTE,0.015581718
BMI,0.014710626
DBINSULN,0.014406048
BEQ100,0.013615998
HIBPE2,0.01350528
WTCRNH,0.013104119
LIV75P,0.011987985
LIV75R,0.011764302
VP,0.011664769
PSYCHF,0.011314638
IWBEG,0.011113719
fam_K16TCAMT_sum,0.010908786
LIVPAR,0.010807468
AGEM_B,0.010619945
DIABF,0.010581422
JLASTM,0.010531126
JLOCC,0.010428747
LUNGF,0.010176305
LTCPRM,0.010099964
CENDIV,0.010088038
SER7,0.010062258
VIGACT,0.01005111
COG27,0.01002563
WTHH,0.009950129
JLOCCA,0.009914727
LTACTX,0.009884073
DADAGE,0.009809394
JLIND,0.009736302
JLTEN,0.009663388
HEIGHT,0.009663116
fam_K15NKID,0.009637727
IPENA,0.009617346
LIV75,0.009590006
MCURLN,0.009561377
fam_K16NKID,0.009548996
JWEEKS,0.009506234
fam_kid_avg_birth_year,0.009461808
DRINKN,0.009439044
fam_KAEDUC_mean,0.009432619
WGIWK,0.009417012
JYEARS,0.009357508
ISRET,0.009276668
FINR,0.009254258
RETMON,0.009228614
URBRUR,0.0092038475
WTRESP,0.009107449
DRINK,0.008973896
JCTEN,0.0089497175
SSWRXA,0.008927542
JLMIS,0.008858132
MLEN,0.0088210935
LIV10R,0.008689941
PRPRM1,0.008677346
FSIZE,0.008677171
TR20,0.008638977
SSWRNR,0.008580298
WEIGHT,0.008565396
RETYR,0.008559147
CENREG,0.008552115
IMRC,0.008529197
SSWRER,0.008527092
DCCONT1,0.008526118
MOMAGE,0.00851821
LIVBRO,0.008496545
JNJOB,0.008443487
JCOCC,0.008434613
EFFORT,0.008416703
WGIHR,0.00840992
LIV10P,0.008372155
DLRC,0.00836545
DCBAL1,0.0083632255
fam_num_kids,0.008351561
WLIPRM,0.008308501
LIV75C,0.008215882
TOTMD,0.008200821
SSWSER,0.008194419
LIVSIS,0.008181568
JMISS,0.00816571
JLASTY,0.008132022
EYEFR,0.008122583
DOCTIM,0.008024525
MSTOT,0.007873556
FAMR,0.007860942
LIVSIB,0.007721226
DIAB,0.0076441946
WORKLM,0.0076063676
DBDIAGYR,0.00752931
EYERT,0.007398415
IEARN,0.007361256
LIV8XC,0.007325461
OOPMD,0.007202254
DRINKD,0.0069235857
BPPULS,0.006768764
wave,0.006401402
PMWAIST,0.0061265253
HIBPE,0.0
