feature,importance
fam_INW12,0.057693996
SHLT,0.046195105
fam_INW13,0.033027016
LUNGF,0.023848442
CONDE,0.017509358
VIGACT,0.015303554
HEARTE,0.015271829
fam_K15NKID,0.013905385
LIVPAR,0.013455463
fam_K16NKID,0.012512196
fam_KAEDUC_mean,0.011536689
DOCTIM,0.011502633
EFFORT,0.011141479
BEQ100,0.01111845
DBINSULN,0.010974667
LIV10R,0.010846984
CENDIV,0.010310543
fam_kid_avg_birth_year,0.010161097
BMI,0.009934502
LIV75R,0.0097227935
JWEEKS,0.009712771
PSYCHF,0.009661355
HIBPE2,0.009624046
DIABE2,0.009571289
FAMR,0.009531506
JLTEN,0.009527984
FINR,0.0094419345
WGIHR,0.00937995
WORKLM,0.009348953
LIV75,0.009225701
DRINKD,0.009158787
DRINK,0.009133202
CENREG,0.0091293305
AGEM_B,0.008983087
WTCRNH,0.008941925
HEIGHT,0.008940539
JLOCC,0.008935059
JLASTM,0.008888665
MLEN,0.008888657
MCURLN,0.008873595
JLIND,0.008819635
JLASTY,0.008758787
JNJOB,0.008752672
fam_num_kids,0.008550419
WGIWK,0.008521025
COG27,0.008499149
SSWSER,0.008424299
ISRET,0.008423887
IWBEG,0.008395566
LTCPRM,0.008384757
URBRUR,0.008360101
JLOCCA,0.008321472
DADAGE,0.008293254
JYEARS,0.008270829
WTHH,0.008155743
DBDIAGYR,0.00811464
SSWRER,0.008090807
RETMON,0.008081652
LTACTX,0.008019446
LIV10P,0.008008111
JLMIS,0.007995776
RETYR,0.0079467455
fam_K16TCAMT_sum,0.007919268
FSIZE,0.007886343
DCBAL1,0.007822203
PMWAIST,0.0077668275
LIVSIB,0.007763149
JCTEN,0.0077392547
SSWRXA,0.0077210153
LIV75P,0.0076626823
DRINKN,0.0076551638
LIV75C,0.007654494
IPENA,0.007616976
PRPRM1,0.007613075
JCOCC,0.007574972
MOMAGE,0.007465466
WTRESP,0.007443945
WEIGHT,0.007383877
TOTMD,0.007303659
SSWRNR,0.007291588
wave,0.0072548296
VP,0.0072348746
EYERT,0.007185015
LIVSIS,0.0071783257
HIBPE,0.0071045016
SER7,0.0071014096
LIV8XC,0.007093112
OOPMD,0.006927885
IMRC,0.006924337
IEARN,0.006903157
DCCONT1,0.0068793385
LIVBRO,0.0067745093
DIABF,0.0067342687
WLIPRM,0.0067293104
JMISS,0.006709304
EYEFR,0.006535483
MSTOT,0.0061664283
DLRC,0.006116939
BPPULS,0.0055397744
TR20,0.005298513
DIAB,0.00426545
