feature,importance
fam_INW13,0.1011161
fam_INW12,0.06340158
CONDE,0.02510192
SHLT,0.023744801
DIAB,0.02222037
HIBPE2,0.022161372
DIABE2,0.021941798
HEARTE,0.019465223
AGEM_B,0.018919343
fam_K15NKID,0.01664738
LIV75R,0.016342819
LIV75P,0.014001611
HIBPE,0.013762258
fam_K16NKID,0.011005079
LIV75,0.010373855
FINR,0.010128528
DLRC,0.009524353
fam_num_kids,0.009206225
fam_KAEDUC_mean,0.008983233
SSWRXA,0.00895351
JMISS,0.008867114
JCOCC,0.008654458
LUNGF,0.008589718
TR20,0.008514488
VIGACT,0.008416759
LIV10P,0.008369472
LTACTX,0.008318003
COG27,0.0083100265
URBRUR,0.008109119
WTCRNH,0.0080844015
CENREG,0.008046053
fam_kid_avg_birth_year,0.008036444
DADAGE,0.007855217
WLIPRM,0.007831691
JYEARS,0.007831175
JCTEN,0.007815656
LIVBRO,0.0077607497
SSWRER,0.0077400785
LTCPRM,0.00760516
LIVSIB,0.007596533
MCURLN,0.0075879754
IEARN,0.007555346
DOCTIM,0.0075460384
FSIZE,0.007477864
JLOCC,0.007426996
JLASTM,0.007381325
PRPRM1,0.007381134
WEIGHT,0.007264394
IWBEG,0.0071876366
WGIHR,0.0071161925
LIV75C,0.0071037863
OOPMD,0.007095605
MOMAGE,0.007095307
WORKLM,0.007091935
SSWSER,0.007082134
HEIGHT,0.0070616966
CENDIV,0.0070178537
DIABF,0.006986654
fam_K16TCAMT_sum,0.006983852
JLIND,0.0069620986
MLEN,0.0069573596
SSWRNR,0.0069179107
IMRC,0.006884545
EFFORT,0.006835763
PSYCHF,0.0067604417
FAMR,0.0067195715
JLTEN,0.00666125
WTRESP,0.006613945
WTHH,0.006611432
SER7,0.006604435
DRINKD,0.006538283
WGIWK,0.0065261936
JLASTY,0.006471688
DCCONT1,0.006389546
LIVSIS,0.0063584535
BEQ100,0.006225407
EYEFR,0.0062042894
LIV10R,0.0061660437
JLMIS,0.0061599314
RETMON,0.0061579375
JLOCCA,0.0061533665
BMI,0.0060706087
MSTOT,0.006052188
IPENA,0.0060415096
ISRET,0.0059693065
DBINSULN,0.005953397
DBDIAGYR,0.0059121894
RETYR,0.00589041
DCBAL1,0.0057850634
JNJOB,0.005774034
LIVPAR,0.0056183045
DRINK,0.005608075
DRINKN,0.005462622
JWEEKS,0.0054481346
LIV8XC,0.0054401793
EYERT,0.005288415
PMWAIST,0.0050681797
BPPULS,0.0048852684
TOTMD,0.0048508826
VP,0.004219584
wave,0.003984248
